Int_value,Size
19005,small
16654,small
743,small
21887,small
18973,small
23894,small
3170,small
22489,small
35783,big
36087,big
35970,big
40321,big
38445,big
26861,big
584,small
41893,big
49664,big
33352,big
5916,small
31049,big
2891,small
39276,big
3630,small
1894,small
19895,small
17437,small
12510,small
6244,small
22881,small
35476,big
17989,small
2235,small
44307,big
30046,big
36049,big
43116,big
13173,small
27074,big
22946,small
41909,big
14281,small
31043,big
491,small
8623,small
20768,small
8324,small
23583,small
37983,big
8639,small
45296,big
18547,small
25507,big
25731,big
32807,big
38155,big
33789,big
29079,big
36110,big
21444,small
9693,small
2570,small
44417,big
47583,big
34958,big
48021,big
14706,small
28085,big
3800,small
30142,big
17969,small
8819,small
26150,big
33891,big
32469,big
36216,big
3624,small
30836,big
4139,small
14319,small
18035,small
22955,small
48751,big
47434,big
44192,big
40725,big
1902,small
10345,small
37689,big
14992,small
14937,small
46546,big
29846,big
44101,big
34007,big
24214,small
17386,small
39461,big
30665,big
22339,small
48931,big
27028,big
19943,small
34729,big
34584,big
35581,big
30852,big
42554,big
44506,big
46300,big
45756,big
5022,small
42103,big
44974,big
26645,big
23565,small
5948,small
31215,big
35891,big
30309,big
21497,small
47050,big
21828,small
8284,small
44661,big
12152,small
38045,big
48962,big
1842,small
36900,big
9566,small
15009,small
15345,small
18229,small
7894,small
7361,small
36919,big
34063,big
17118,small
16551,small
16308,small
19645,small
11679,small
10383,small
32221,big
17347,small
25709,big
15356,small
37004,big
43401,big
38141,big
34863,big
37711,big
40530,big
41533,big
15077,small
18467,small
11939,small
19916,small
44080,big
13191,small
25715,big
30064,big
5160,small
29707,big
30397,big
5760,small
41837,big
6457,small
8463,small
44952,big
35225,big
2208,small
4425,small
42914,big
13535,small
42447,big
33369,big
44934,big
25888,big
3365,small
30918,big
30267,big
19719,small
30557,big
37671,big
32495,big
25879,big
717,small
35718,big
2894,small
19561,small
48002,big
49254,big
1377,small
39152,big
38224,big
24225,small
24795,small
2120,small
14169,small
48537,big
16729,small
37963,big
263,small
13541,small
42291,big
20568,small
20377,small
22054,small
16875,small
43984,big
41503,big
11151,small
44340,big
826,small
31585,big
13578,small
35928,big
43500,big
10522,small
27574,big
43282,big
33810,big
10816,small
35455,big
2984,small
49455,big
10124,small
18268,small
32273,big
5313,small
43074,big
31816,big
9106,small
33100,big
6013,small
21573,small
7653,small
45928,big
41109,big
15371,small
18950,small
2597,small
18515,small
33940,big
30768,big
24516,small
37410,big
45554,big
36761,big
26742,big
7584,small
3131,small
14245,small
4594,small
17990,small
36186,big
23222,small
18017,small
34460,big
34139,big
30007,big
12443,small
44731,big
41098,big
1704,small
22195,small
7828,small
38077,big
10650,small
49315,big
38189,big
18226,small
43403,big
7585,small
4432,small
10617,small
37737,big
15146,small
49180,big
34869,big
39594,big
34897,big
49591,big
17415,small
24578,small
31786,big
1104,small
37854,big
16152,small
11605,small
4075,small
18323,small
19587,small
11367,small
27980,big
42346,big
37212,big
29998,big
26599,big
40143,big
11260,small
29799,big
5363,small
41826,big
32849,big
43353,big
32657,big
2277,small
42530,big
231,small
17366,small
11532,small
43028,big
45510,big
31446,big
29695,big
30679,big
10957,small
23071,small
27526,big
44722,big
20529,small
38812,big
6856,small
13811,small
19759,small
37707,big
16348,small
19713,small
28934,big
15351,small
18179,small
15700,small
8381,small
33075,big
47476,big
22607,small
49797,big
40484,big
40581,big
27290,big
32908,big
12917,small
34698,big
18134,small
39637,big
4977,small
31081,big
37117,big
24686,small
41307,big
32216,big
31824,big
2462,small
42788,big
15614,small
7241,small
18355,small
27892,big
15772,small
4652,small
23227,small
1841,small
11173,small
39049,big
42104,big
10787,small
28708,big
37174,big
19808,small
31964,big
15032,small
47633,big
28858,big
13197,small
30299,big
10217,small
9559,small
24586,small
123,small
19081,small
2256,small
46132,big
29846,big
25040,big
15153,small
38612,big
39630,big
24130,small
459,small
48072,big
40911,big
38018,big
30762,big
28693,big
21656,small
36266,big
36625,big
16898,small
28725,big
34624,big
47140,big
3750,small
12684,small
48381,big
726,small
31718,big
42591,big
14588,small
42804,big
19978,small
35992,big
285,small
22981,small
30621,big
28453,big
20474,small
32177,big
44538,big
10860,small
28228,big
27167,big
35909,big
28208,big
18174,small
14733,small
17666,small
38048,big
42766,big
25264,big
32621,big
8892,small
39452,big
39460,big
35268,big
14241,small
43992,big
26915,big
930,small
15497,small
17577,small
12703,small
30616,big
46400,big
19916,small
7560,small
39873,big
48546,big
19678,small
14083,small
45198,big
32621,big
4830,small
16146,small
28207,big
40715,big
2614,small
4699,small
12747,small
21120,small
19594,small
31615,big
31553,big
3950,small
19858,small
14401,small
7666,small
18817,small
21125,small
22422,small
21380,small
24541,small
7943,small
23524,small
49929,big
42971,big
45915,big
21658,small
23395,small
31034,big
48264,big
49158,big
9343,small
43020,big
29647,big
46328,big
40510,big
26009,big
2214,small
21572,small
2033,small
16434,small
23279,small
46195,big
42273,big
3043,small
43174,big
45613,big
5677,small
11743,small
38366,big
35896,big
4495,small
2449,small
41659,big
46309,big
19908,small
43778,big
17583,small
11737,small
35199,big
48637,big
49303,big
14801,small
19354,small
47808,big
19757,small
49940,big
24600,small
23966,small
26121,big
33716,big
31132,big
26162,big
43878,big
34732,big
6090,small
9702,small
37484,big
34146,big
29771,big
31896,big
38881,big
35069,big
11436,small
12680,small
47972,big
43868,big
5612,small
39639,big
43600,big
7806,small
48601,big
775,small
4657,small
19100,small
28560,big
8611,small
33686,big
37013,big
42834,big
34442,big
17361,small
7595,small
12171,small
7521,small
8037,small
31062,big
5452,small
22883,small
6154,small
1056,small
6255,small
8006,small
42866,big
89,small
28958,big
28785,big
24773,small
22432,small
45983,big
2341,small
33550,big
30831,big
32144,big
1302,small
38785,big
25698,big
9482,small
44074,big
10793,small
37149,big
26396,big
3149,small
32742,big
17083,small
31994,big
49990,big
6554,small
47442,big
39826,big
4949,small
39247,big
6467,small
13081,small
5591,small
31624,big
6190,small
18850,small
29077,big
26478,big
20167,small
44184,big
12527,small
26913,big
39330,big
19860,small
8669,small
4793,small
27797,big
39066,big
26771,big
14647,small
20502,small
32205,big
42693,big
2567,small
17465,small
49760,big
2467,small
26267,big
20334,small
37532,big
34852,big
21875,small
22272,small
11818,small
15796,small
48818,big
27229,big
25683,big
3450,small
6837,small
4980,small
9733,small
12572,small
24091,small
41051,big
27325,big
2568,small
45550,big
3152,small
27213,big
42153,big
41355,big
10392,small
49641,big
38063,big
36342,big
39545,big
36245,big
38625,big
47957,big
6042,small
18280,small
15255,small
11660,small
39128,big
43707,big
17280,small
18552,small
3765,small
33738,big
32646,big
17984,small
1409,small
39138,big
44315,big
34362,big
18603,small
45474,big
21715,small
30640,big
5356,small
38178,big
36346,big
11325,small
1834,small
4803,small
34475,big
11482,small
36270,big
34056,big
44572,big
35640,big
37129,big
49463,big
34519,big
22606,small
35831,big
46913,big
11017,small
38035,big
8389,small
30551,big
41857,big
5716,small
43692,big
26987,big
48222,big
14000,small
33509,big
49462,big
23797,small
39005,big
7860,small
38469,big
49887,big
14541,small
28244,big
15960,small
2971,small
17280,small
7487,small
16988,small
30779,big
4020,small
31586,big
25516,big
10605,small
2562,small
11101,small
48497,big
27513,big
34321,big
38747,big
39343,big
34092,big
46462,big
17382,small
20288,small
36693,big
21335,small
5857,small
35826,big
6757,small
36361,big
6550,small
24734,small
46942,big
9498,small
23636,small
2547,small
44789,big
24316,small
46974,big
9801,small
49275,big
29363,big
18792,small
8895,small
31760,big
9861,small
4431,small
8434,small
18033,small
30802,big
26952,big
19319,small
1953,small
49189,big
32400,big
21111,small
42266,big
3425,small
10909,small
28992,big
45394,big
5873,small
41466,big
26211,big
10952,small
18182,small
18817,small
1843,small
19059,small
40050,big
3530,small
20430,small
14615,small
7022,small
10644,small
34105,big
29365,big
22945,small
34783,big
27259,big
11119,small
25668,big
5662,small
4027,small
22850,small
6644,small
45731,big
6674,small
8641,small
29539,big
35054,big
16876,small
8470,small
7150,small
427,small
26337,big
35961,big
44264,big
34494,big
34427,big
29310,big
11459,small
10788,small
27720,big
25714,big
40602,big
32377,big
38185,big
9117,small
20293,small
31805,big
42988,big
39338,big
9330,small
44347,big
29806,big
39927,big
4845,small
3905,small
1318,small
20660,small
10051,small
15390,small
36819,big
42476,big
20397,small
41741,big
21369,small
33543,big
14081,small
38005,big
17749,small
17538,small
10003,small
11423,small
36106,big
29341,big
48883,big
27487,big
46731,big
46656,big
23595,small
17965,small
28552,big
43623,big
32293,big
16763,small
3406,small
49851,big
33393,big
26696,big
41093,big
28210,big
14128,small
650,small
22401,small
24249,small
9799,small
33475,big
6769,small
20502,small
48007,big
15591,small
4919,small
44964,big
10727,small
14515,small
27761,big
42887,big
187,small
36257,big
14063,small
46219,big
28651,big
19545,small
17367,small
6026,small
19856,small
45359,big
1264,small
27589,big
23954,small
42451,big
27442,big
48350,big
28759,big
43211,big
38759,big
48971,big
41379,big
6094,small
45287,big
36440,big
22636,small
16279,small
26339,big
35799,big
46650,big
48416,big
19213,small
24133,small
48353,big
49746,big
18221,small
43779,big
42837,big
30255,big
35266,big
14732,small
36664,big
46925,big
26376,big
7759,small
19701,small
40237,big
36344,big
22235,small
2716,small
39262,big
14449,small
28959,big
42577,big
11198,small
2682,small
5985,small
35410,big
20264,small
1079,small
45618,big
2981,small
5634,small
29194,big
31436,big
13635,small
42529,big
2523,small
46675,big
33705,big
33105,big
45904,big
27732,big
6749,small
29831,big
44757,big
28628,big
30141,big
26326,big
3939,small
38022,big
35060,big
31148,big
29440,big
30356,big
12374,small
34300,big
45380,big
5027,small
3450,small
35700,big
37040,big
47039,big
7112,small
34157,big
30927,big
31813,big
33502,big
11281,small
7107,small
18994,small
44718,big
42854,big
4907,small
16141,small
29340,big
2781,small
28453,big
10932,small
1255,small
24811,small
6835,small
10145,small
29532,big
46234,big
28230,big
23887,small
40754,big
24318,small
44703,big
2210,small
6300,small
29994,big
33095,big
13079,small
9754,small
20573,small
30417,big
4813,small
33193,big
45897,big
34858,big
49607,big
43016,big
24769,small
44054,big
7586,small
10704,small
37140,big
47445,big
35790,big
7370,small
44657,big
2897,small
44040,big
3216,small
27136,big
26629,big
26233,big
39880,big
35836,big
2181,small
49903,big
35849,big
597,small
23056,small
40674,big
12788,small
31005,big
46387,big
35372,big
10761,small
45735,big
18812,small
31485,big
11923,small
6519,small
21427,small
1523,small
7015,small
26574,big
15093,small
49860,big
34004,big
45064,big
3786,small
40756,big
18805,small
27748,big
49330,big
28474,big
13921,small
36412,big
44385,big
25568,big
35994,big
40671,big
22272,small
31348,big
3482,small
8868,small
14556,small
45727,big
22238,small
41020,big
45529,big
32348,big
31048,big
23702,small
2992,small
23090,small
79,small
27412,big
15973,small
29847,big
18703,small
1969,small
10661,small
9762,small
11081,small
20127,small
43997,big
20340,small
33815,big
38945,big
8161,small
38290,big
20309,small
15288,small
41490,big
2158,small
18900,small
32046,big
3307,small
21670,small
36,small
45164,big
5145,small
8733,small
16177,small
49286,big
11020,small
7194,small
21257,small
30254,big
40375,big
48561,big
30997,big
8335,small
22507,small
49256,big
16850,small
48160,big
7008,small
17161,small
43122,big
25179,big
30423,big
15407,small
43525,big
49309,big
28523,big
40770,big
1783,small
30209,big
46477,big
3488,small
1067,small
32350,big
49454,big
23837,small
31706,big
2129,small
17240,small
41013,big
39590,big
27206,big
28944,big
42585,big
49869,big
42129,big
2947,small
34781,big
22900,small
26645,big
27208,big
42899,big
1897,small
44195,big
15517,small
33896,big
21777,small
30289,big
26948,big
22990,small
26860,big
24159,small
40077,big
44322,big
40091,big
2815,small
42960,big
10743,small
3262,small
34206,big
13072,small
37958,big
22552,small
5366,small
25808,big
15969,small
29712,big
18540,small
18913,small
34368,big
30189,big
46491,big
10161,small
38536,big
10538,small
41419,big
14446,small
3616,small
26772,big
7547,small
2669,small
25683,big
2716,small
15848,small
12144,small
28013,big
6596,small
37215,big
44849,big
43033,big
41168,big
25812,big
21093,small
36661,big
32665,big
35231,big
26655,big
3988,small
33737,big
18182,small
2817,small
46326,big
25755,big
7898,small
35834,big
1348,small
15332,small
32035,big
29653,big
42094,big
33894,big
20754,small
9228,small
31291,big
6919,small
37929,big
30960,big
35858,big
31304,big
30437,big
7499,small
28307,big
26457,big
15843,small
38968,big
19073,small
36246,big
1043,small
12309,small
5279,small
9927,small
41703,big
18967,small
40335,big
43389,big
23111,small
30807,big
18448,small
21809,small
6762,small
35979,big
549,small
26027,big
26004,big
47130,big
29653,big
41197,big
40307,big
22301,small
7753,small
46158,big
22072,small
30314,big
33963,big
12125,small
18924,small
11959,small
15607,small
30348,big
33503,big
33513,big
30768,big
33214,big
5835,small
25921,big
48875,big
42375,big
45350,big
24661,small
17686,small
17301,small
7647,small
33577,big
31885,big
31591,big
33193,big
30143,big
15953,small
29191,big
17583,small
36240,big
15065,small
44796,big
16614,small
3593,small
27907,big
45303,big
34412,big
5440,small
33870,big
42117,big
16694,small
12873,small
30922,big
30069,big
49454,big
32483,big
35901,big
15037,small
35736,big
21701,small
11585,small
18157,small
1471,small
21912,small
6915,small
1536,small
14245,small
31269,big
11183,small
5296,small
17185,small
8655,small
38295,big
11740,small
29229,big
48818,big
19158,small
47228,big
2959,small
7809,small
2251,small
20644,small
284,small
45041,big
32620,big
44025,big
20211,small
16038,small
33410,big
46675,big
25507,big
29289,big
32794,big
12844,small
44898,big
26613,big
10784,small
5216,small
28256,big
250,small
23397,small
29159,big
15588,small
40058,big
44873,big
41861,big
10622,small
23151,small
35871,big
30143,big
45842,big
38291,big
22771,small
23154,small
42549,big
15744,small
37935,big
33335,big
46177,big
39114,big
13458,small
34247,big
7161,small
35054,big
28407,big
47486,big
16197,small
20980,small
49073,big
6733,small
8889,small
10409,small
28792,big
15027,small
45100,big
15009,small
3487,small
25874,big
32505,big
33313,big
41403,big
26398,big
22281,small
33871,big
29820,big
31590,big
49662,big
35795,big
19769,small
37292,big
48257,big
6850,small
12266,small
13092,small
9868,small
24458,small
39972,big
47657,big
2450,small
37321,big
36765,big
17784,small
14510,small
43292,big
47891,big
43553,big
6390,small
9918,small
26401,big
2804,small
13398,small
49725,big
7351,small
21080,small
18076,small
20883,small
41912,big
37826,big
45825,big
40879,big
34536,big
40950,big
23923,small
40163,big
26547,big
16838,small
18530,small
40760,big
12510,small
48044,big
17644,small
6683,small
31172,big
45593,big
34034,big
42058,big
1098,small
5447,small
46034,big
14575,small
41883,big
41034,big
38491,big
45074,big
14746,small
49685,big
41959,big
22614,small
910,small
35016,big
36596,big
37756,big
30592,big
8315,small
912,small
44149,big
444,small
41325,big
3786,small
9641,small
31617,big
32078,big
26555,big
40306,big
8262,small
39932,big
4441,small
29211,big
34887,big
42558,big
18549,small
21725,small
10858,small
16120,small
38468,big
39766,big
27041,big
9218,small
17279,small
4961,small
40688,big
34109,big
29853,big
42560,big
48004,big
3591,small
37025,big
1661,small
48334,big
31108,big
18826,small
18570,small
29747,big
42273,big
4305,small
14266,small
19322,small
45403,big
13683,small
33143,big
15120,small
38808,big
29225,big
25550,big
17767,small
38133,big
14873,small
47012,big
46288,big
39710,big
24184,small
29289,big
46174,big
20885,small
31498,big
35497,big
19484,small
28534,big
40605,big
21428,small
39232,big
27483,big
15268,small
37161,big
15579,small
29778,big
25080,big
10521,small
45858,big
2407,small
18155,small
40079,big
18127,small
26366,big
22682,small
15643,small
36582,big
1802,small
29460,big
592,small
40613,big
41846,big
2709,small
17934,small
19543,small
36573,big
14177,small
27625,big
30944,big
32774,big
36597,big
11924,small
12410,small
5455,small
47854,big
3407,small
38478,big
18957,small
7775,small
41878,big
40792,big
31247,big
38735,big
31988,big
6964,small
46641,big
11043,small
32315,big
41643,big
1829,small
11073,small
1408,small
49588,big
35051,big
17269,small
31856,big
17218,small
26375,big
47246,big
20592,small
44160,big
49461,big
39784,big
47827,big
42579,big
40356,big
42968,big
35280,big
35268,big
22774,small
16799,small
46081,big
42551,big
47759,big
8800,small
13100,small
25114,big
6864,small
36391,big
11411,small
40419,big
35364,big
32218,big
33514,big
3489,small
22783,small
39526,big
35363,big
35841,big
45291,big
15090,small
22319,small
48059,big
21485,small
36989,big
45123,big
8863,small
46047,big
7987,small
37549,big
21999,small
14392,small
49185,big
32250,big
40022,big
21532,small
44368,big
25606,big
6896,small
14422,small
29288,big
7804,small
4565,small
36824,big
42811,big
31265,big
13718,small
2112,small
4097,small
33240,big
1384,small
13303,small
48532,big
33776,big
36954,big
4873,small
3826,small
30866,big
28409,big
43811,big
26771,big
38298,big
34308,big
115,small
24646,small
9564,small
44736,big
45183,big
48263,big
14144,small
26419,big
28791,big
22446,small
9458,small
7922,small
3244,small
42237,big
20522,small
44156,big
33185,big
20748,small
39122,big
6132,small
30497,big
28625,big
33534,big
7440,small
34287,big
23465,small
30898,big
48462,big
40727,big
48534,big
44040,big
14548,small
33497,big
8850,small
47896,big
30230,big
27534,big
17824,small
13735,small
48019,big
14051,small
46354,big
7230,small
22277,small
49024,big
19709,small
6026,small
45964,big
1896,small
43950,big
39064,big
25014,big
3038,small
35220,big
845,small
32031,big
38746,big
18165,small
8154,small
1331,small
22093,small
14237,small
44610,big
13466,small
9365,small
32814,big
16846,small
16948,small
43546,big
9182,small
13438,small
19903,small
33345,big
22361,small
20424,small
49293,big
28220,big
8002,small
44387,big
1312,small
43124,big
26168,big
8549,small
46461,big
4621,small
48772,big
10778,small
12819,small
21993,small
10895,small
14072,small
45628,big
1271,small
40697,big
16032,small
39963,big
5905,small
27657,big
8229,small
3334,small
47457,big
42061,big
30514,big
49657,big
2035,small
10426,small
48442,big
35680,big
10209,small
26369,big
23512,small
28320,big
1331,small
44875,big
15953,small
18632,small
37335,big
13758,small
14944,small
17517,small
35932,big
2345,small
2998,small
27042,big
23483,small
15768,small
29000,big
21441,small
26755,big
8605,small
11314,small
35734,big
42156,big
3810,small
17935,small
48864,big
3136,small
31591,big
36475,big
47455,big
47480,big
43387,big
12102,small
12247,small
44706,big
46961,big
28886,big
23733,small
33601,big
20620,small
20729,small
28231,big
20802,small
8893,small
1728,small
12813,small
35640,big
16349,small
26663,big
35646,big
10864,small
31820,big
42009,big
46185,big
35761,big
649,small
33052,big
16957,small
47985,big
20473,small
41511,big
1812,small
28462,big
8782,small
4872,small
11077,small
11350,small
39377,big
4762,small
41606,big
41734,big
7104,small
14896,small
37674,big
1195,small
40286,big
20085,small
37541,big
29628,big
7185,small
21890,small
18807,small
41647,big
46468,big
23215,small
23445,small
19486,small
35214,big
35419,big
5178,small
5222,small
24450,small
49209,big
24995,small
41595,big
22243,small
35064,big
10152,small
12091,small
28359,big
4988,small
36349,big
8086,small
40140,big
44001,big
43276,big
36594,big
35252,big
16809,small
25094,big
38807,big
7582,small
7844,small
8734,small
32701,big
15122,small
48033,big
34174,big
5090,small
4580,small
19262,small
24956,small
633,small
19086,small
9997,small
30116,big
47409,big
49466,big
23770,small
11317,small
20255,small
25737,big
30570,big
40916,big
35838,big
15775,small
37661,big
11305,small
2306,small
8374,small
7993,small
48499,big
28169,big
5617,small
24686,small
14421,small
12080,small
44284,big
45780,big
11606,small
41058,big
18832,small
13275,small
43428,big
8558,small
9290,small
13296,small
586,small
55,small
11591,small
48571,big
29774,big
12906,small
16341,small
23,small
21581,small
33882,big
31346,big
30868,big
8957,small
15790,small
16191,small
16815,small
39609,big
104,small
19201,small
21198,small
39669,big
47112,big
32460,big
23895,small
1186,small
46076,big
44186,big
16377,small
6393,small
20706,small
13759,small
44560,big
24207,small
32929,big
3247,small
11853,small
34876,big
46729,big
40516,big
18809,small
24768,small
29682,big
25814,big
29217,big
35652,big
9785,small
13092,small
35883,big
39941,big
14044,small
25726,big
